# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 11 09:24:27 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag >0
# CONSTRAINT:  and disc_facility like '%K2%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-216 b,K2-216,TIC 418761354,Gaia DR2 2556231154370582400,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=PERSSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A..33P/abstract target=ref>Persson et al. 2018</a>,2.17480000,0.00005000,-0.00005000,0,0.028000,0.003000,-0.007000,0,1.750,0.170,-0.100,0,0.156,0.015,-0.009,0,8.00000,1.60000,-1.60000,0,0.02517,0.00503,-0.00503,0,Mass,0.000000,,,0,248.00,220.00,-48.00,0,1103,180,-56,0,0,<a refstr=PERSSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A..33P/abstract target=ref>Persson et al. 2018</a>,K5 V,4503.00,69.00,-69.00,0,0.72,0.03,-0.03,0,0.70,0.03,-0.03,0,0.000,0.070,-0.070,0,[Fe/H],4.57,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h45m55.26s,11.4802354,+06d20m49.31s,6.3470302,115.4610000,0.7100000,-0.7010000,12.4030000,0.1030000,-0.1030000,9.7210000,0.0180000,-0.0180000,12.0576000,0.0002070,-0.0002070,2018-11-02,2018-10,2018-11-01
K2-217 b,K2-217,TIC 405333767,Gaia DR2 2556248536102683008,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,14.07452400,0.00099400,-0.00093800,0,,,,,3.579,0.698,-0.485,0,0.319,0.062,-0.043,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5967.00,50.00,-50.00,0,1.33,0.20,-0.17,0,1.10,0.05,-0.04,0,0.040,0.080,-0.080,0,[Fe/H],4.17,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h45m11.61s,11.2983678,+06d28m53.72s,6.4815879,381.8780000,7.6490000,-7.3600000,12.2640000,0.0920000,-0.0920000,10.6790000,0.0200000,-0.0200000,12.0279000,0.0002500,-0.0002500,2018-02-14,2018-03,2018-02-15
K2-218 b,K2-218,TIC 266014458,Gaia DR2 2556472119215785728,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,8.67988500,0.00041700,-0.00043000,0,,,,,2.569,0.275,-0.152,0,0.229,0.025,-0.014,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5757.00,50.00,-50.00,0,1.01,0.08,-0.05,0,1.05,0.03,-0.03,0,0.250,0.080,-0.080,0,[Fe/H],4.45,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h51m14.31s,12.8096130,+06d50m47.16s,6.8464327,394.0830000,10.0170000,-9.5410000,12.9200000,0.1140000,-0.1140000,11.2060000,0.0240000,-0.0240000,12.7137000,0.0002660,-0.0002660,2018-02-14,2018-03,2018-02-15
K2-219 b,K2-219,TIC 266014079,Gaia DR2 2581741400387500544,1,1,3,Transit,2018,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,3.90128700,0.00066000,-0.00067700,0,,,,,1.348,0.202,-0.181,0,0.120,0.018,-0.016,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5753.00,50.00,-50.00,0,1.19,0.16,-0.14,0,1.02,0.03,-0.03,0,0.130,0.080,-0.080,0,[Fe/H],4.23,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h51m22.87s,12.8452963,+08d52m03.17s,8.8675474,325.4000000,4.8420000,-4.7050000,12.0900000,0.0340000,-0.0340000,10.4240000,0.0210000,-0.0210000,11.9110000,0.0002210,-0.0002210,2018-02-14,2018-03,2018-02-15
K2-219 c,K2-219,TIC 266014079,Gaia DR2 2581741400387500544,1,1,3,Transit,2018,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,6.66767000,0.00128300,-0.00156900,0,,,,,1.438,0.214,-0.192,0,0.128,0.019,-0.017,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5753.00,50.00,-50.00,0,1.19,0.16,-0.14,0,1.02,0.03,-0.03,0,0.130,0.080,-0.080,0,[Fe/H],4.23,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h51m22.87s,12.8452963,+08d52m03.17s,8.8675474,325.4000000,4.8420000,-4.7050000,12.0900000,0.0340000,-0.0340000,10.4240000,0.0210000,-0.0210000,11.9110000,0.0002210,-0.0002210,2018-02-14,2018-03,2018-02-15
K2-219 d,K2-219,TIC 266014079,Gaia DR2 2581741400387500544,1,1,3,Transit,2018,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,11.13727800,0.00080800,-0.00078600,0,,,,,2.576,0.357,-0.323,0,0.230,0.032,-0.029,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5753.00,50.00,-50.00,0,1.19,0.16,-0.14,0,1.02,0.03,-0.03,0,0.130,0.080,-0.080,0,[Fe/H],4.23,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h51m22.87s,12.8452963,+08d52m03.17s,8.8675474,325.4000000,4.8420000,-4.7050000,12.0900000,0.0340000,-0.0340000,10.4240000,0.0210000,-0.0210000,11.9110000,0.0002210,-0.0002210,2018-02-14,2018-03,2018-02-15
K2-22 b,K2-22,TIC 363445338,Gaia DR2 3811002791880297600,1,2,1,Transit,2015,K2,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.38107300,0.00002400,-0.00002400,0,,,,,2.300,0.100,-0.100,0,0.205,0.009,-0.009,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,3879.00,90.00,-90.00,0,0.58,0.03,-0.03,0,,,,,0.032,0.120,-0.120,0,[Fe/H],4.70,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m55.85s,169.4827046,+02d37m08.53s,2.6190363,243.8360000,2.7975000,-2.7975000,15.5650000,0.0460000,-0.0460000,11.9240000,0.0260000,-0.0260000,14.9537000,0.0007770,-0.0007770,2022-03-28,2021-08,2022-03-28
K2-220 b,K2-220,TIC 266012991,Gaia DR2 2581918597853527424,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,13.68325600,0.00105000,-0.00110000,0,0.110400,0.001400,-0.001500,0,2.390,0.120,-0.120,0,0.213,0.011,-0.011,0,,,,,,,,,,,,,,,,,,758,15,-15,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5660.00,92.00,-92.00,0,1.02,0.02,-0.02,0,0.96,0.04,-0.04,0,0.040,0.050,-0.050,0,[Fe/H],4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h51m04.80s,12.7700071,+09d31m00.37s,9.5167694,233.5140000,2.7570000,-2.6950000,11.8730000,0.0800000,-0.0800000,10.1610000,0.0210000,-0.0210000,11.7214000,0.0003890,-0.0003890,2018-10-24,2018-12,2018-10-26
K2-221 b,K2-221,TIC 257801011,Gaia DR2 2582898606311167872,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2.39909400,0.00012500,-0.00011800,0,,,,,1.679,0.167,-0.096,0,0.150,0.015,-0.009,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5716.00,50.00,-50.00,0,0.95,0.04,-0.03,0,1.01,0.02,-0.02,0,0.130,0.080,-0.080,0,[Fe/H],4.57,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m37.21s,16.6550286,+10d11m23.06s,10.1897385,318.8100000,6.7630000,-6.4930000,12.5710000,0.0690000,-0.0690000,10.8520000,0.0230000,-0.0230000,12.4149000,0.0002710,-0.0002710,2018-02-14,2018-03,2018-02-15
K2-222 b,K2-222,TIC 257774438,Gaia DR2 2584093844170270720,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,15.38857000,0.00088000,-0.00088000,0,0.120600,0.002900,-0.002900,0,2.350,0.080,-0.070,0,0.210,0.007,-0.006,0,8.70000,1.70000,-1.70000,0,0.02737,0.00535,-0.00535,0,Mass,0.160000,,,1,96.00,11.00,-9.70,0,871,23,-23,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5942.00,119.00,-119.00,0,1.11,0.03,-0.03,0,0.99,0.07,-0.07,0,-0.315,0.060,-0.060,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h05m51.00s,16.4625203,+11d45m13.38s,11.7537171,101.3210000,0.6320000,-0.6250000,9.5430000,0.0040000,-0.0040000,8.1050000,0.0170000,-0.0170000,9.3607200,0.0002920,-0.0002920,2023-04-17,2023-04,2023-04-17
K2-223 b,K2-223,TIC 98594138,Gaia DR2 3578046995560843520,1,1,2,Transit,2018,K2,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.50557000,0.00008800,-0.00008800,0,,,,,0.890,0.100,-0.090,0,0.079,0.009,-0.008,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5859.00,50.00,-50.00,0,1.00,0.06,-0.06,0,,,,,0.190,0.080,-0.080,0,[Fe/H],4.50,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h21m13.48s,185.3061830,-10d16m55.53s,-10.2820915,198.6040000,2.5670000,-2.5030000,11.4430000,0.0570000,-0.0570000,9.8350000,0.0240000,-0.0240000,11.2736000,0.0007920,-0.0007920,2022-03-28,2021-08,2022-03-28
K2-223 c,K2-223,TIC 98594138,Gaia DR2 3578046995560843520,1,1,2,Transit,2018,K2,Published Confirmed,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,4.56254600,0.00014000,-0.00014000,0,,,,,1.500,0.100,-0.100,0,0.134,0.009,-0.009,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5859.00,50.00,-50.00,0,1.00,0.06,-0.06,0,,,,,0.190,0.080,-0.080,0,[Fe/H],4.50,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h21m13.48s,185.3061830,-10d16m55.53s,-10.2820915,198.6040000,2.5670000,-2.5030000,11.4430000,0.0570000,-0.0570000,9.8350000,0.0240000,-0.0240000,11.2736000,0.0007920,-0.0007920,2022-03-28,2021-08,2022-03-28
K2-224 b,K2-224,TIC 32425577,Gaia DR2 3578783977588991360,1,1,2,Transit,2018,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,4.47904000,0.00116000,-0.00132000,0,0.051600,0.000400,-0.000400,0,1.560,0.160,-0.140,0,0.139,0.014,-0.012,0,,,,,,,,,,,,,,,,,,1002,11,-11,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,5620.00,42.00,-45.00,0,0.84,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.190,0.060,-0.060,0,[Fe/H],4.55,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h38m48.99s,189.7041426,-10d03m38.14s,-10.0605942,275.2550000,2.9350000,-2.8740000,12.7000000,0.0800000,-0.0800000,10.9400000,0.0190000,-0.0190000,12.5216000,0.0001580,-0.0001580,2022-06-08,2018-08,2022-06-08
K2-224 c,K2-224,TIC 32425577,Gaia DR2 3578783977588991360,1,1,2,Transit,2018,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,10.09489000,0.00119000,-0.00114000,0,0.088600,0.000700,-0.000700,0,2.410,0.160,-0.120,0,0.215,0.014,-0.011,0,,,,,,,,,,,,,,,,,,764,9,-9,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,5620.00,42.00,-45.00,0,0.84,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.190,0.060,-0.060,0,[Fe/H],4.55,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h38m48.99s,189.7041426,-10d03m38.14s,-10.0605942,275.2550000,2.9350000,-2.8740000,12.7000000,0.0800000,-0.0800000,10.9400000,0.0190000,-0.0190000,12.5216000,0.0001580,-0.0001580,2022-06-08,2018-08,2022-06-08
K2-225 b,K2-225,TIC 98677125,Gaia DR2 3579573358218514944,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,15.87230000,0.00210000,-0.00190000,0,0.140900,0.003300,-0.003100,0,3.609,0.280,-0.224,0,0.322,0.025,-0.020,0,,,,,,,,,,0.230000,0.390000,-0.160000,0,,,,,923,13,-14,0,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,,5520.00,140.00,-140.00,0,1.70,0.09,-0.09,0,1.48,0.11,-0.10,0,0.486,0.061,-0.072,0,[Fe/H],4.15,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m09.86s,186.5410958,-09d37m29.36s,-9.6248232,357.7780000,5.8960000,-5.7110000,11.8360000,0.0220000,-0.0220000,9.9540010,0.0230000,-0.0230000,11.5203000,0.0005430,-0.0005430,2024-11-20,2023-04,2024-11-20
K2-226 b,K2-226,TIC 176938958,Gaia DR2 3581264372742210048,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,3.27109000,0.00036000,-0.00039000,0,0.040950,0.000660,-0.000490,0,1.539,0.103,-0.086,0,0.137,0.009,-0.008,0,,,,,,,,,,0.220000,0.370000,-0.160000,0,,,,,1187,16,-17,0,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,,5288.00,99.00,-99.00,0,0.89,0.03,-0.03,0,0.86,0.04,-0.03,0,-0.050,0.068,-0.052,0,[Fe/H],4.47,0.04,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m34.96s,183.6456643,-09d33m45.46s,-9.5626286,211.2650000,3.3790000,-3.2750000,12.3370000,0.0920000,-0.0920000,10.2230000,0.0230000,-0.0230000,12.0917000,0.0003440,-0.0003440,2024-11-20,2023-04,2024-11-20
K2-227 b,K2-227,TIC 156599123,Gaia DR2 3675261140764265728,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,13.62183200,0.00318800,-0.00326800,0,,,,,1.666,1.221,-0.179,0,0.149,0.109,-0.016,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5673.00,50.00,-50.00,0,0.89,0.04,-0.03,0,0.95,0.03,-0.03,0,-0.100,0.080,-0.080,0,[Fe/H],4.58,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h43m47.62s,190.9484237,-08d28m42.30s,-8.4784159,187.2340000,2.0560000,-2.0130000,12.0150000,0.0340000,-0.0340000,10.0050000,0.0210000,-0.0210000,11.4954000,0.0005400,-0.0005400,2018-02-14,2018-03,2018-02-15
